Project,Despach N° RA-20XX-XXXX,SampleID_Init,SampleID_Fin,TotalSample_SE,Weight SE,SampleType,Target,Laboratory,Prepared Method,Analytical Method,DispatchDate,Over Limit,Analytes,ReceivedDate,ResultDate,Workorder,Location,Responsible
BRAR,RA-2023-0052,BR0011082,BR0011177,96,238.16,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,Th,4/4/2023,5/10/2023,GQ2303714,VESPASIANO/MG,SDS
BRAR,RA-2023-0053,BR0011178,BR0011272,95,237.47,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,Th,4/4/2023,5/10/2023,GQ2303717,VESPASIANO/MG,SDS
BRAR,RA-2023-0054,BR0011273,BR0011357,85,201.77,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/4/2023,5/11/2023,GQ2303718,VESPASIANO/MG,SDS
BRAR,RA-2023-0055,BR0011358,BR0011440,83,214.73,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,3/27/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/4/2023,5/16/2023,GQ2303721,VESPASIANO/MG,SDS
BRAR,RA-2023-0056,BR0011441,BR0011526,86,230,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/13/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/17/2023,5/12/2023,GQ2304164,VESPASIANO/MG,SDS
BRAR,RA-2023-0057,BR0011527,BR0011611,85,232.21,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/13/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/17/2023,5/15/2023,GQ2304166,VESPASIANO/MG,SDS
BRAR,RA-2023-0058,BR0011612,BR0011702,91,235.27,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/13/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/17/2023,5/22/2023,GQ2304167,VESPASIANO/MG,SDS
BRAR,RA-2023-0059,BR0011703,BR0011772,70,188.54,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/13/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/17/2023,5/22/2023,GQ2304171,VESPASIANO/MG,SDS
BRAR,RA-2023-0060,BR0011773,BR0011833,61,174,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/13/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,4/17/2023,5/22/2023,GQ2304172,VESPASIANO/MG,SDS
BRAR,RA-2023-0061,BR0011834,BR0011923,90,246.2,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,4/13/2023,NA,NA,4/17/2023,5/25/2023,GQ2304174,VESPASIANO/MG,SDS
